path	label	conc	temp	group	rep	read
input/vim2_library_nosel_37c/NO_SEL_37_G5_rep1_S97_R2_001.fastq.gz	nosel	nosel	37	5	1	2
input/vim2_library_nosel_37c/NO_SEL_37_G5_rep2_S109_R1_001.fastq.gz	nosel	nosel	37	5	2	1
input/vim2_library_nosel_37c/NO_SEL_37_G5_rep2_S109_R2_001.fastq.gz	nosel	nosel	37	5	2	2
input/vim2_library_nosel_37c/NO_SEL_37_G6_rep1_S121_R1_001.fastq.gz	nosel	nosel	37	6	1	1
input/vim2_library_nosel_37c/NO_SEL_37_G6_rep1_S121_R2_001.fastq.gz	nosel	nosel	37	6	1	2
input/vim2_library_nosel_37c/NO_SEL_37_G6_rep2_S133_R1_001.fastq.gz	nosel	nosel	37	6	2	1
input/vim2_library_nosel_37c/NO_SEL_37_G6_rep2_S133_R2_001.fastq.gz	nosel	nosel	37	6	2	2
input/vim2_library_nosel_37c/NO_SEL_37_G7_rep1_S145_R1_001.fastq.gz	nosel	nosel	37	7	1	1
input/vim2_library_nosel_37c/NO_SEL_37_G7_rep1_S145_R2_001.fastq.gz	nosel	nosel	37	7	1	2
input/vim2_library_nosel_37c/NO_SEL_37_G7_rep2_S157_R1_001.fastq.gz	nosel	nosel	37	7	2	1
input/vim2_library_nosel_37c/NO_SEL_37_G7_rep2_S157_R2_001.fastq.gz	nosel	nosel	37	7	2	2
input/vim2_wt/WT_G1_rep1_S12_R1_001.fastq.gz	wt	na	na	1	1	1
input/vim2_wt/WT_G1_rep1_S12_R2_001.fastq.gz	wt	na	na	1	1	2
input/vim2_wt/WT_G1_rep2_S24_R1_001.fastq.gz	wt	na	na	1	2	1
input/vim2_wt/WT_G1_rep2_S24_R2_001.fastq.gz	wt	na	na	1	2	2
input/vim2_wt/WT_G2_rep1_S36_R1_001.fastq.gz	wt	na	na	2	1	1
input/vim2_wt/WT_G2_rep1_S36_R2_001.fastq.gz	wt	na	na	2	1	2
input/vim2_wt/WT_G2_rep2_S48_R1_001.fastq.gz	wt	na	na	2	2	1
input/vim2_wt/WT_G2_rep2_S48_R2_001.fastq.gz	wt	na	na	2	2	2
input/vim2_wt/WT_G3_rep1_S60_R1_001.fastq.gz	wt	na	na	3	1	1
